Day,Run1,Run2,Run3,Run4,Run5,Average
0, 13, 13, 13, 13, 13, 13.0
1, 11, 11, 11, 11, 11, 11.0
2, 10, 9, 9, 11, 11, 10.0
3, 10, 8, 8, 10, 9, 9.0
4, 10, 8, 7, 9, 9, 8.6
5, 15, 8, 10, 12, 14, 11.8
6, 15, 11, 10, 12, 16, 12.8
7, 14, 10, 9, 12, 16, 12.2
8, 18, 9, 9, 15, 20, 14.2
9, 18, 9, 12, 17, 20, 15.2
10, 18, 9, 12, 16, 19, 14.8
11, 22, 9, 14, 19, 22, 17.2
12, 22, 9, 14, 19, 24, 17.6
13, 22, 8, 16, 19, 20, 17.0
14, 21, 8, 16, 17, 20, 16.4
15, 23, 7, 19, 20, 22, 18.2
16, 23, 7, 19, 19, 21, 17.8
17, 23, 5, 21, 19, 19, 17.4
18, 26, 4, 21, 18, 22, 18.2
19, 26, 3, 24, 18, 22, 18.6
20, 25, 2, 24, 18, 20, 17.8
21, 25, 2, 23, 16, 20, 17.2
22, 27, 1, 25, 16, 20, 17.8
23, 25, 1, 23, 16, 24, 17.8
24, 25, 1, 23, 16, 24, 17.8
25, 24, 1, 23, 16, 24, 17.6
26, 24, 1, 23, 20, 27, 19.0
27, 23, 1, 22, 20, 25, 18.2
28, 21, 1, 22, 19, 27, 18.0
29, 23, 1, 24, 24, 27, 19.8
30, 22, 1, 24, 22, 27, 19.2
31, 22, 1, 22, 22, 27, 18.8
32, 22, 1, 24, 27, 27, 20.2
33, 25, 1, 23, 26, 27, 20.4
34, 23, 1, 23, 26, 27, 20.0
35, 21, 1, 26, 29, 27, 20.8
36, 21, 1, 29, 28, 31, 22.0
37, 21, 1, 29, 28, 33, 22.4
38, 20, 1, 27, 30, 33, 22.2
39, 22, 1, 33, 29, 33, 23.6
40, 24, 1, 32, 29, 35, 24.2
41, 24, 1, 32, 32, 35, 24.8
42, 26, 1, 35, 32, 35, 25.8
43, 28, 1, 37, 29, 35, 26.0
44, 27, 1, 37, 29, 38, 26.4
45, 31, 1, 41, 28, 38, 27.8
46, 30, 1, 43, 28, 42, 28.8
47, 30, 1, 45, 28, 42, 29.2
48, 30, 1, 45, 31, 44, 30.2
49, 30, 1, 44, 31, 48, 30.8
50, 29, 1, 48, 34, 48, 32.0
51, 31, 1, 50, 34, 47, 32.6
52, 31, 1, 49, 34, 46, 32.2
53, 31, 1, 45, 36, 49, 32.4
54, 33, 1, 44, 41, 51, 34.0
55, 35, 1, 40, 41, 55, 34.4
56, 35, 1, 45, 40, 55, 35.2
57, 38, 1, 47, 43, 53, 36.4
58, 40, 1, 47, 48, 50, 37.2
59, 38, 1, 47, 47, 54, 37.4
60, 44, 1, 47, 50, 59, 40.2
61, 44, 1, 47, 50, 58, 40.0
62, 46, 1, 50, 47, 58, 40.4
63, 45, 1, 48, 46, 63, 40.6
64, 43, 1, 48, 49, 59, 40.0
65, 46, 1, 54, 49, 61, 42.2
66, 52, 1, 52, 52, 63, 44.0
67, 52, 1, 54, 51, 67, 45.0
68, 59, 1, 57, 48, 65, 46.0
69, 65, 1, 57, 50, 71, 48.8
70, 63, 1, 57, 50, 75, 49.2
71, 65, 1, 64, 50, 75, 51.0
72, 69, 1, 63, 56, 69, 51.6
73, 69, 1, 63, 56, 75, 52.8
74, 66, 1, 63, 58, 75, 52.6
75, 71, 1, 62, 58, 73, 53.0
76, 67, 1, 66, 57, 73, 52.8
77, 66, 1, 63, 57, 75, 52.4
78, 68, 1, 65, 61, 78, 54.6
79, 71, 1, 69, 61, 78, 56.0
80, 71, 1, 69, 61, 75, 55.4
81, 77, 1, 72, 63, 78, 58.2
82, 80, 1, 74, 63, 81, 59.8
83, 80, 1, 70, 66, 81, 59.6
84, 85, 1, 69, 68, 84, 61.4
85, 84, 1, 69, 71, 86, 62.2
86, 87, 1, 67, 75, 86, 63.2
87, 93, 1, 67, 75, 89, 65.0
88, 93, 1, 67, 81, 92, 66.8
89, 99, 1, 72, 81, 94, 69.4
90, 99, 1, 77, 81, 96, 70.8
91, 102, 1, 77, 86, 99, 73.0
92, 101, 1, 75, 95, 101, 74.6
93, 107, 1, 75, 95, 104, 76.4
94, 107, 1, 77, 98, 106, 77.8
95, 107, 1, 79, 101, 111, 79.8
96, 107, 1, 82, 106, 116, 82.4
97, 109, 1, 85, 106, 118, 83.8
98, 115, 1, 88, 108, 124, 87.2
99, 113, 1, 91, 107, 127, 87.8
100, 117, 1, 96, 110, 125, 89.8
