Day,Run1,Run2,Run3,Run4,Run5,Average
0, 200, 200, 200, 200, 200, 200.0
1, 176, 185, 186, 178, 186, 182.2
2, 162, 170, 171, 168, 167, 167.6
3, 147, 157, 157, 158, 155, 154.8
4, 209, 232, 246, 226, 213, 225.2
5, 235, 250, 259, 247, 231, 244.4
6, 226, 230, 246, 242, 225, 233.8
7, 251, 265, 296, 276, 260, 269.6
8, 255, 274, 296, 288, 266, 275.8
9, 248, 262, 284, 278, 260, 266.4
10, 248, 269, 294, 287, 271, 273.8
11, 250, 272, 294, 291, 268, 275.0
12, 238, 249, 276, 280, 259, 260.4
13, 230, 244, 269, 268, 251, 252.4
14, 218, 241, 269, 260, 238, 245.2
15, 210, 231, 252, 249, 234, 235.2
16, 201, 223, 241, 245, 226, 227.2
17, 192, 208, 229, 224, 214, 213.4
18, 187, 201, 216, 225, 220, 209.8
19, 190, 199, 216, 225, 222, 210.4
20, 192, 200, 211, 218, 220, 208.2
21, 194, 198, 208, 210, 222, 206.4
22, 196, 202, 205, 223, 225, 210.2
23, 188, 201, 210, 223, 217, 207.8
24, 187, 209, 207, 218, 224, 209.0
25, 183, 195, 210, 222, 227, 207.4
26, 180, 195, 217, 217, 230, 207.8
27, 171, 203, 214, 212, 230, 206.0
28, 169, 203, 210, 219, 229, 206.0
29, 168, 199, 208, 211, 229, 203.0
30, 169, 205, 200, 212, 216, 200.4
31, 165, 191, 198, 207, 209, 194.0
32, 161, 184, 203, 207, 212, 193.4
33, 153, 195, 211, 204, 211, 194.8
34, 151, 184, 211, 201, 207, 190.8
35, 153, 191, 209, 205, 210, 193.6
36, 155, 196, 211, 209, 218, 197.8
37, 162, 195, 208, 203, 216, 196.8
38, 159, 196, 202, 202, 210, 193.8
39, 160, 202, 203, 197, 209, 194.2
40, 160, 204, 211, 207, 208, 198.0
41, 152, 191, 213, 207, 204, 193.4
42, 156, 192, 212, 208, 208, 195.2
43, 156, 191, 205, 205, 209, 193.2
44, 157, 195, 200, 209, 215, 195.2
45, 157, 198, 199, 203, 212, 193.8
46, 157, 194, 196, 206, 218, 194.2
47, 163, 186, 198, 209, 226, 196.4
48, 162, 186, 199, 204, 231, 196.4
49, 166, 183, 197, 200, 232, 195.6
50, 170, 180, 195, 203, 250, 199.6
51, 171, 183, 191, 197, 253, 199.0
52, 174, 182, 188, 199, 248, 198.2
53, 179, 174, 200, 207, 250, 202.0
54, 183, 177, 204, 206, 249, 203.8
55, 185, 173, 201, 210, 246, 203.0
56, 199, 159, 206, 219, 257, 208.0
57, 203, 164, 205, 218, 247, 207.4
58, 203, 169, 202, 206, 254, 206.8
59, 203, 163, 202, 210, 258, 207.2
60, 202, 167, 208, 207, 256, 208.0
61, 202, 180, 211, 214, 265, 214.4
62, 203, 175, 209, 225, 268, 216.0
63, 207, 181, 206, 229, 275, 219.6
64, 214, 182, 209, 224, 284, 222.6
65, 218, 181, 207, 229, 291, 225.2
66, 218, 174, 212, 236, 305, 229.0
67, 217, 171, 218, 234, 313, 230.6
68, 224, 171, 215, 227, 308, 229.0
69, 223, 173, 211, 233, 316, 231.2
70, 224, 167, 217, 233, 327, 233.6
71, 234, 167, 220, 231, 336, 237.6
72, 232, 161, 215, 235, 336, 235.8
73, 238, 162, 220, 242, 351, 242.6
74, 247, 168, 222, 237, 359, 246.6
75, 255, 172, 228, 244, 352, 250.2
76, 255, 164, 228, 245, 367, 251.8
77, 268, 166, 233, 237, 369, 254.6
78, 268, 174, 243, 257, 381, 264.6
79, 269, 172, 242, 257, 395, 267.0
80, 281, 170, 243, 249, 398, 268.2
81, 292, 169, 253, 253, 404, 274.2
82, 301, 170, 260, 266, 409, 281.2
83, 300, 176, 267, 251, 417, 282.2
84, 312, 176, 276, 252, 417, 286.6
85, 322, 184, 273, 256, 426, 292.2
86, 324, 186, 282, 253, 435, 296.0
87, 337, 185, 290, 243, 439, 298.8
88, 340, 181, 287, 246, 439, 298.6
89, 341, 186, 294, 240, 450, 302.2
90, 346, 179, 305, 241, 461, 306.4
91, 355, 180, 304, 239, 457, 307.0
92, 367, 186, 304, 236, 462, 311.0
93, 366, 180, 315, 247, 471, 315.8
94, 370, 179, 319, 247, 479, 318.8
95, 378, 186, 318, 242, 471, 319.0
96, 391, 176, 340, 254, 485, 329.2
97, 391, 169, 349, 261, 486, 331.2
98, 398, 176, 353, 263, 486, 335.2
99, 413, 178, 364, 259, 501, 343.0
100, 411, 179, 383, 257, 511, 348.2
101, 427, 179, 383, 260, 509, 351.6
102, 436, 181, 394, 258, 515, 356.8
103, 438, 175, 402, 259, 532, 361.2
104, 438, 169, 407, 270, 541, 365.0
105, 455, 169, 407, 275, 539, 369.0
106, 458, 164, 409, 277, 560, 373.6
107, 470, 163, 411, 285, 571, 380.0
108, 483, 165, 424, 288, 572, 386.4
109, 485, 177, 418, 293, 578, 390.2
110, 495, 174, 440, 296, 590, 399.0
111, 506, 166, 458, 304, 602, 407.2
112, 520, 163, 455, 304, 601, 408.6
113, 534, 162, 471, 314, 615, 419.2
114, 544, 158, 476, 317, 639, 426.8
115, 545, 157, 477, 329, 647, 431.0
116, 554, 163, 472, 326, 648, 432.6
117, 566, 170, 489, 331, 666, 444.4
118, 586, 177, 498, 334, 665, 452.0
119, 588, 181, 498, 333, 672, 454.4
120, 588, 181, 519, 350, 685, 464.6
121, 607, 187, 529, 356, 699, 475.6
122, 616, 186, 528, 356, 721, 481.4
123, 616, 185, 532, 366, 726, 485.0
124, 625, 189, 543, 369, 728, 490.8
125, 642, 195, 539, 380, 751, 501.4
126, 656, 194, 535, 392, 776, 510.6
127, 658, 190, 561, 388, 790, 517.4
128, 663, 194, 582, 393, 816, 529.6
129, 668, 194, 585, 391, 838, 535.2
130, 682, 199, 590, 397, 861, 545.8
131, 700, 210, 603, 406, 871, 558.0
132, 716, 211, 614, 414, 885, 568.0
133, 738, 210, 613, 426, 897, 576.8
134, 760, 208, 627, 426, 910, 586.2
135, 784, 211, 643, 430, 935, 600.6
136, 804, 207, 645, 433, 948, 607.4
137, 822, 204, 652, 439, 971, 617.6
138, 841, 205, 677, 451, 980, 630.8
139, 847, 205, 682, 463, 992, 637.8
140, 866, 201, 693, 464, 1030, 650.8
141, 869, 202, 711, 479, 1056, 663.4
142, 881, 204, 714, 490, 1071, 672.0
143, 913, 197, 736, 488, 1103, 687.4
144, 909, 202, 736, 506, 1116, 693.8
145, 937, 200, 742, 507, 1121, 701.4
146, 962, 202, 746, 518, 1156, 716.8
147, 960, 203, 769, 527, 1189, 729.6
148, 976, 199, 768, 528, 1211, 736.4
149, 1002, 205, 791, 550, 1238, 757.2
150, 1020, 206, 814, 558, 1276, 774.8
151, 1045, 210, 814, 562, 1305, 787.2
152, 1065, 216, 832, 562, 1332, 801.4
153, 1084, 219, 830, 572, 1357, 812.4
154, 1114, 220, 847, 579, 1403, 832.6
155, 1125, 220, 871, 568, 1417, 840.2
156, 1137, 224, 888, 585, 1432, 853.2
157, 1164, 223, 902, 601, 1466, 871.2
158, 1175, 226, 910, 600, 1488, 879.8
159, 1195, 225, 919, 614, 1468, 884.2
160, 1229, 227, 946, 622, 1499, 904.6
161, 1243, 230, 981, 633, 1535, 924.4
162, 1259, 238, 1003, 641, 1549, 938.0
163, 1298, 231, 1028, 655, 1572, 956.8
164, 1327, 225, 1059, 664, 1598, 974.6
165, 1347, 234, 1082, 670, 1630, 992.6
166, 1370, 236, 1096, 678, 1643, 1004.6
167, 1392, 243, 1113, 689, 1674, 1022.2
168, 1410, 244, 1145, 680, 1703, 1036.4
169, 1439, 248, 1145, 688, 1734, 1050.8
170, 1456, 262, 1171, 694, 1765, 1069.6
171, 1487, 261, 1185, 699, 1793, 1085.0
172, 1503, 269, 1201, 716, 1821, 1102.0
173, 1532, 277, 1221, 722, 1857, 1121.8
174, 1581, 280, 1234, 732, 1905, 1146.4
175, 1618, 288, 1252, 749, 1941, 1169.6
176, 1661, 296, 1288, 769, 1963, 1195.4
177, 1673, 292, 1326, 780, 2009, 1216.0
178, 1697, 294, 1359, 810, 2046, 1241.2
179, 1720, 293, 1401, 817, 2075, 1261.2
180, 1758, 298, 1431, 813, 2124, 1284.8
181, 1780, 313, 1468, 824, 2148, 1306.6
182, 1803, 318, 1492, 852, 2201, 1333.2
183, 1860, 323, 1513, 846, 2250, 1358.4
184, 1897, 326, 1556, 858, 2278, 1383.0
185, 1898, 319, 1572, 875, 2310, 1394.8
186, 1952, 321, 1612, 875, 2344, 1420.8
187, 2033, 326, 1629, 889, 2401, 1455.6
188, 2040, 335, 1647, 906, 2465, 1478.6
189, 2075, 335, 1684, 926, 2493, 1502.6
190, 2145, 322, 1714, 938, 2537, 1531.2
191, 2172, 335, 1730, 955, 2598, 1558.0
192, 2197, 338, 1766, 968, 2613, 1576.4
193, 2219, 349, 1783, 978, 2674, 1600.6
194, 2265, 351, 1821, 986, 2734, 1631.4
195, 2299, 343, 1894, 1018, 2770, 1664.8
196, 2332, 352, 1904, 1036, 2841, 1693.0
197, 2366, 363, 1927, 1057, 2898, 1722.2
198, 2412, 370, 1977, 1083, 2934, 1755.2
199, 2457, 373, 2026, 1092, 2983, 1786.2
200, 2488, 373, 2054, 1126, 3047, 1817.6
